LINgroup_Name	LINgroup_prefix
NP-UA	0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-UA_OmpA(D,G,I,Ia,K)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-UA_OmpA(H)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NP-UA_OmpA(G)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NP-UA_OmpA(J,Ia)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
NP-UA_OmpA(J,Ja)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
NP-UA_OmpA(I)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
NP-UA_OmpA(K)	0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Ocular	0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ocular_OmpA(A)	0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
P-UA	0,0,0,0,0,0,0,0,0,0,0,0,1,0
P-UA_OmpA(E)	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P-UA_OmpA(D,F,E,Ja)	0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
P-UA_OmpA(G)	0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
LGV	0,0,0,0,0,0,0,0,0,0,0,1,0,0
LGV_OmpA(L2b)	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LGV_OmpA(L2)	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LGV_OmpA(L3)	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
