14	23	LGV__L1__L1_1322_p2	0.005306000000000033,0.03769199999999995,0.014026000000000004
13	1	P-UA__Da__Da_ref	0
12	1	NP-UA__G__G_11222	0
11	1	P-UA__J__J_27-97	0
10	3	NP-UA__G__G_9768	0.0,0.0016249999999999876,0.0008124999999999938
9	2	Ocular__A__A_ref	0
8	4	Ocular__A__A_7249	0.0010350000000000081,0.017257999999999996,0.008291333333333317
7	3	Ocular__C__C_TW-3	0.0,0.013966000000000034,0.006983000000000017
6	6	Ocular____SB013321	0.0032489999999999464,0.05455500000000002,0.020216400000000002
5	2	P-UA__F__70s	0
4	2	NP-UA__K__SQ19	0
3	13	NP-UA__D__D-LC	0.0,0.04333799999999999,0.020827166666666664
2	34	P-UA__E__E-8873	0.014581999999999984,0.050887000000000016,0.0332210909090909
1	18	NP-UA__Ia__Ia_ref	0.0005370000000000097,0.05186299999999999,0.02282658823529411
